fecha,procedencia,personas
2022-02-06,Residente,2
2022-02-06,Austria,2
2022-02-06,España,9
2022-02-06,Estonia-Letonia-Lituania,6
2022-02-06,Europa,19
2022-02-06,R. Eslovaca,0
2022-02-12,Italia,0
2022-02-12,Estonia-Letonia-Lituania,11
2022-02-12,Oceanía,0
2022-02-12,Gran Bretaña,1
2022-02-12,Austria,3
2022-02-12,Alemania,18
2022-02-12,América del Norte,0
2022-02-12,Europa,12
2022-02-12,R. Checa,0
2022-02-12,R. Eslovaca,2
2022-02-12,Rusia,0
2022-02-12,Polonia,27
2022-02-12,África,0
2022-02-12,Francia,1
2022-02-12,Residente,3
2022-02-12,Asia y Oriente Próx.,0
2022-02-12,América del Sur,0
2022-02-12,España,13
2022-02-13,R. Checa,9
2022-02-13,Polonia,27
2022-02-13,África,0
2022-02-13,Austria,0
2022-02-13,Italia,2
2022-02-13,Asia y Oriente Próx.,2
2022-02-13,Residente,1
2022-02-13,Francia,6
2022-02-13,España,20
2022-02-13,América del Sur,0
2022-02-13,Oceanía,0
2022-02-13,América del Norte,0
2022-02-13,R. Eslovaca,0
2022-02-13,Estonia-Letonia-Lituania,5
2022-02-13,Alemania,20
2022-02-13,Rusia,2
2022-02-13,Europa,18
2022-02-13,Gran Bretaña,1
2022-02-19,Francia,0
2022-02-19,R. Checa,4
2022-02-19,Alemania,20
2022-02-19,Austria,3
2022-02-19,Gran Bretaña,0
2022-02-19,Polonia,23
2022-02-19,R. Eslovaca,0
2022-02-19,América del Sur,0
2022-02-19,Italia,4
2022-02-19,Residente,3
2022-02-19,España,16
2022-02-19,Europa,11
2022-02-19,Oceanía,0
2022-02-19,Estonia-Letonia-Lituania,2
2022-02-19,América del Norte,2
2022-02-19,Rusia,0
2022-02-19,África,0
2022-02-19,Asia y Oriente Próx.,0
2022-02-26,Italia,0
2022-02-26,Polonia,22
2022-02-26,América del Sur,0
2022-02-26,Oceanía,0
2022-02-26,África,0
2022-02-26,Austria,4
2022-02-26,Residente,4
2022-02-26,Francia,6
2022-02-26,Rusia,0
2022-02-26,Gran Bretaña,0
2022-02-26,España,15
2022-02-26,Europa,12
2022-02-26,R. Checa,2
2022-02-26,Alemania,13
2022-02-26,América del Norte,0
2022-02-26,R. Eslovaca,4
2022-02-26,Estonia-Letonia-Lituania,9
2022-02-26,Asia y Oriente Próx.,0
2022-03-06,Europa,34
2022-03-06,Estonia-Letonia-Lituania,9
2022-03-06,América del Norte,0
2022-03-06,Oceanía,0
2022-03-06,África,0
2022-03-06,América del Sur,0
2022-03-06,España,10
2022-03-06,Residente,1
2022-03-06,R. Eslovaca,0
2022-03-06,Gran Bretaña,2
2022-03-06,Polonia,27
2022-03-06,Alemania,25
2022-03-06,Austria,0
2022-03-06,Rusia,0
2022-03-06,Francia,10
2022-03-06,Italia,2
2022-03-06,R. Checa,8
2022-03-06,Asia y Oriente Próx.,0
2022-03-12,África,0
2022-03-12,Francia,4
2022-03-12,R. Eslovaca,0
2022-03-12,Asia y Oriente Próx.,0
2022-03-12,Austria,5
2022-03-12,Alemania,8
2022-03-12,Gran Bretaña,5
2022-03-12,R. Checa,8
2022-03-12,Residente,5
2022-03-12,Italia,2
2022-03-12,Estonia-Letonia-Lituania,5
2022-03-12,España,29
2022-03-12,América del Norte,0
2022-03-12,América del Sur,0
2022-03-12,Polonia,35
2022-03-12,Oceanía,2
2022-03-12,Europa,11
2022-03-12,Rusia,0
2022-03-13,España,7
2022-03-13,Gran Bretaña,0
2022-03-13,Europa,1
2022-03-13,Polonia,49
2022-03-13,Estonia-Letonia-Lituania,14
2022-03-13,Asia y Oriente Próx.,0
2022-03-13,Rusia,0
2022-03-13,R. Eslovaca,0
2022-03-13,Oceanía,0
2022-03-13,África,0
2022-03-13,América del Sur,0
2022-03-13,Francia,4
2022-03-13,Austria,5
2022-03-13,Alemania,19
2022-03-13,América del Norte,0
2022-03-13,R. Checa,9
2022-03-13,Italia,4
2022-03-13,Residente,3
2022-03-19,Estonia-Letonia-Lituania,9
2022-03-19,América del Sur,0
2022-03-19,América del Norte,0
2022-03-19,África,0
2022-03-19,Polonia,25
2022-03-19,Alemania,41
2022-03-19,Residente,9
2022-03-19,Oceanía,3
2022-03-19,Gran Bretaña,5
2022-03-19,Austria,0
2022-03-19,Rusia,0
2022-03-19,Europa,6
2022-03-19,España,8
2022-03-19,Francia,2
2022-03-19,R. Eslovaca,0
2022-03-19,R. Checa,0
2022-03-19,Italia,0
2022-03-19,Asia y Oriente Próx.,0
2022-03-20,R. Checa,7
2022-03-20,Italia,4
2022-03-20,América del Norte,0
2022-03-20,Austria,5
2022-03-20,Alemania,32
